headline,body,label
"হামজারা পেলেন আরেকটি সুযোগ","হামজা চৌধুরীদের ইংলিশ প্রিমিয়ার লিগে ওঠার আশা অনেকটাই থমকে গিয়েছিল। সেই আশার পালে নতুন করে হাওয়া লেগেছে। প্রিমিয়ার লিগে ওঠার জন্য আরেকটি সুযোগ পেয়েছে হামজার দল শেফিল্ড ইউনাইটেড।চ্যাম্পিয়নশিপ লিগের প্লে–অফ সেমিফাইনালে ব্রিস্টলের বিপক্ষে দ্বিতীয় লেগে কাল ৩–০ গোলে জিতেছে শেফিল্ড। দুই লেগ মিলিয়ে ৬–০ গোলের অগ্রগামিতায় প্লে–অফ ফাইনাল নিশ্চিত করেছে তারা।",1
"নিখোঁজ বউয়ের পোস্টার নিয়ে সড়কে অভিনেতা রাশেদ সীমান্ত","জনপ্রিয় অভিনেতা রাশেদ সীমান্ত। হুট করেই নিখোঁজ হয়েছে তার বউ। এর জেরে পুলিশের দ্বারস্থ হয়েছেন তিনি। রাস্তায় রাস্তায় করেছে মাইকিং। এমনকি বউয়ের ছবিসহ পোস্টারও লাগিয়েছেন। তবে এতে কোনো কাজ হচ্ছে না। নিখোঁজ বউয়ের খোঁজে রাশেদ সীমান্ত এক রকম পাগল হয়ে গেছেন। পাগলপ্রায় তিনি বউয়ের পোস্টার নিয়ে রাস্তায় রাস্তায় ঘুরছেন। আসলে ঘটনাটি বাস্তবে নয় নাটকে।নাটকটির নাম ‘বউ নিখোঁজ’।",0
"চট্টগ্রাম বন্দর বাংলাদেশের অর্থনীতির হৃৎপিণ্ড: প্রধান উপদেষ্টা","চট্টগ্রাম বন্দরকে বাংলাদেশের অর্থনীতির ‘হৃদপিণ্ড’ হিসেবে বর্ণনা করে এর আধুনিকায়নে জোর দিয়েছেন প্রধান উপদেষ্টা অধ্যাপক মুহাম্মদ ইউনূস। তিনি বলেছেন, “এই হৃৎপিণ্ডকে আমাদের প্রতিবেশীদের সঙ্গে সংযুক্ত করতে হবে। এজন্য আমি নেপাল ও ভারতের সাতটি উত্তর-পূর্ব রাজ্যের (সেভেন সিস্টার্স) কথা বলেছি। যদি তারা এতে যুক্ত হয়, তারা উপকৃত হবে, আমরাও হব। যারা যুক্ত হবে না, তারা পিছিয়ে পড়বে।”",1
"অগ্নিপরীক্ষায় সাবিলা নূর","নাটকের জনপ্রিয় অভিনেত্রী সাবিলা নূর। সিনেমায় কাজ করবেন, দীর্ঘদিন ধরেই তিনি এমনটাই বলে আসছিলেন। শুরুটা ভালো কিছু দিয়েই করতে চেয়েছেন। অবশেষে সেটা মিলেও গেল। নাম লেখালেন ‘তান্ডব’ নামে একটি সিনেমায়। রায়হান রাফি পরিচালিত এ সিনেমায় শাকিব খানের বিপরীতে অভিনয় করছেন সাবিলা।",0
"পলিথিনের বিকল্প পাট ও কাপড়ের ব্যাগ তৈরি করবে সরকার","সরকার পলিথিনের বিকল্প পাট ও কাপড়ের ব্যাগ তৈরি ও সুলভ মূল্যে ক্রেতাদের হাতে পৌঁছে দেওয়ার উদ্যোগ নিয়েছে বলে জানিয়েছেন পরিবেশ, বন ও জলবায়ু পরিবর্তন এবং পানিসম্পদ মন্ত্রণালয়ের  উপদেষ্টা সৈয়দা রিজওয়ানা হাসান।",1
"সপ্তম বিশ্বকাপ জিতল ব্রাজিল","ফুটবলে সময়টা ভালো কাটছে না ব্রাজিলের। তবে, মূল সংস্করণে ভালো করতে না পারলেও আলো ছড়িয়েছে বিচ ফুটবলে। সেশেলসে অনুষ্ঠিত ফিফা বিচ সকার বিশ্বকাপ-২০২৫ এর শিরোপা জিতেছে সেলেসাওরা। ফাইনালে রোববার (১১ মে) বেলারুশকে হারিয়ে সপ্তমবারের মতো বিচ সকারের চ্যাম্পিয়ন হয়েছে ব্রাজিল।",0
"কমলো বিমানের তেলের দাম", "দেশীয় বাজারে বিমানে ব্যবহৃত এভিয়েশন ফুয়েল বা জেট এ-১ এর দাম কমানো হয়েছে। মঙ্গলবার (১৩ মে) নতুন দাম ঘোষণা করেছে বাংলাদেশ এনার্জি রেগুলেটরি কমিশন (বিইআরসি)। যেটি আজ রাত ১২টা থেকে কার্যকর হবে।অভ্যন্তরীণ ফ্লাইটে বাংলাদেশি ক্রেতার ক্ষেত্রে প্রতি লিটারে ১১১ টাকা থেকে কমিয়ে ৯৩ দশমিক ৫৭ টাকা এবং আন্তর্জাতিক ফ্লাইটে দেশি ও বিদেশি ক্রেতার থেকে প্রতি লিটার ০ দশমিক ৭৫০০ ডলার থেকে কমিয়ে ০ দশমিক ৬০৬৬ ডলার নির্ধারণ করা হয়েছে।",1
"বাংলাদেশকে নেতৃত্ব দেবেন সোহান","বাংলাদেশ ‘এ’ দলের বিপক্ষে ওয়ানডে ও টি-টোয়েন্টি সিরিজ খেলতে এসেছে নিউজিল্যান্ড ‘এ’ দল। সিলেটে আগামীকাল সোমবার (৫ মে) থেকে শুরু হবে ওয়ানডে সিরিজ। তিন ম্যাচের ওয়ানডে সিরিজকে সামনে রেখে প্রথম দুই ম্যাচের দল ঘোষণা করেছিল বাংলাদেশ ক্রিকেট বোর্ড (বিসিবি)। তবে, চূড়ান্ত করা হয়নি অধিনায়কের নাম ।আজ ম্যাচের আগের দিন জানা গেল অধিনায়কের নাম। এই সিরিজে বাংলাদেশকে নেতৃত্ব দেবেন নুরুল হাসান সোহান। ‘এ’ দলের কোচ মিজানুর রহমান বাবুল গণমাধ্যমের মুখোমুখি হয়ে জানান সোহানের কথা। পাশাপাশি ভালো খেলার দিকে নজর দিয়েছেন তিনি। ",0
"তীব্র গরমের পর রাজধানীতে বৃষ্টির সঙ্গে হিমেল হাওয়ায় স্বস্তি","বুধবার বেলা ৩টার কিছুক্ষণ আগে থেকে বিচ্ছিন্নভাবে রাজধানীর বিভিন্ন এলাকায় বৃষ্টির খবর পাওয়া গেছে। প্রায় ৩০ মিনিটের মতো বৃষ্টি হয়েছে। এদিন দুপুর ২টা থেকেই রাজধানীর বিভিন্ন এলাকায় আকাশ মেঘাচ্ছন্নের পাশাপাশি হিমেল বাতাস বইতে শুরু করে। বাতাস বেশ ঠান্ডা হওয়ায় তখন থেকেই স্বস্তি অনুভূত হতে থাকে। কিছুক্ষণ পরই বৃষ্টি নামতে শুরু করে। এতে জনমনে স্বস্তি ফিরে আসে।",1
"প্রধানমন্ত্রী বললেন আগামীকালই নতুন নির্বাচন!",""প্রধানমন্ত্রী আজ এক বৈঠকে বলেছেন যে নির্ধারিত সময়েই নির্বাচন অনুষ্ঠিত হবে এবং এরিখবে নির্বাচন কমিশনের অধীনে।,0
